[sound:k8-0801_伊佐木.mp3]	伊佐木 <br> いさき <br> chicken grunt (fish), threeline grunt
不整脈	[sound:k8-0843_不整脈.mp3] <br> ふせいみゃく <br> irregular pulse, arrhythmia
[sound:s8-0843_私は写真を撮るのが好きです。.mp3]	<b>(写)</b> <br> 私は写真を撮るのが好きです。<br> わたしはしゃしんをとるのがすきです。 <br> I like taking photos.			
<b>(写)</b> <br> 私は写真を撮るのが好きです。	[sound:s8-0843_私は写真を撮るのが好きです。.mp3] <br> わたしはしゃしんをとるのがすきです。 <br> I like taking photos.			
[sound:k8-0844_整形外科.mp3]	整形外科 <br> せいけいげか <br> orthopaedic surgery, plastic surgery
orthopaedic surgery, plastic surgery	整形外科 <br> せいけいげか <br> [sound:k8-0844_整形外科.mp3]
整形外科	[sound:k8-0844_整形外科.mp3] <br> せいけいげか <br> orthopaedic surgery, plastic surgery
[sound:s8-0844_私は写真を見るのが好きです。.mp3]	<b>(写真)</b> <br> 私は写真を見るのが好きです。<br> わたしはしゃしんをみるのがすきです。 <br> I like looking at photos.			
<b>(写真)</b> <br> 私は写真を見るのが好きです。	[sound:s8-0844_私は写真を見るのが好きです。.mp3] <br> わたしはしゃしんをみるのがすきです。 <br> I like looking at photos.			
[sound:k8-0845_整う.mp3]	整う <br> ととのう <br> to be prepared, to be in order, to be put in order, to be arranged
to be prepared, to be in order, to be put in order, to be arranged	整う <br> ととのう <br> [sound:k8-0845_整う.mp3]
整う	[sound:k8-0845_整う.mp3] <br> ととのう <br> to be prepared, to be in order, to be put in order, to be arranged
[sound:s8-0845_その写真集は売り切れました。.mp3]	<b>(写真集)</b> <br> その写真集は売り切れました。<br> そのしゃしんしゅうはうりきれました。 <br> The photo album sold out.			
<b>(写真集)</b> <br> その写真集は売り切れました。	[sound:s8-0845_その写真集は売り切れました。.mp3] <br> そのしゃしんしゅうはうりきれました。 <br> The photo album sold out.			
[sound:k8-0846_整形.mp3]	整形 <br> せいけい <br> orthopedics, plastic surgery, cosmetic surgery; smoothing (bursty traffic, etc.)
orthopedics, plastic surgery, cosmetic surgery; smoothing (bursty traffic, etc.)	整形 <br> せいけい <br> [sound:k8-0846_整形.mp3]
整形	[sound:k8-0846_整形.mp3] <br> せいけい <br> orthopedics, plastic surgery, cosmetic surgery; smoothing (bursty traffic, etc.)
[sound:s8-0846_その建物は写真に写っています。.mp3]	<b>(写る)</b> <br> その建物は写真に写っています。<br> そのたてものはしゃしんにうつっています。 <br> The building is in the photograph.			
<b>(写る)</b> <br> その建物は写真に写っています。	[sound:s8-0846_その建物は写真に写っています。.mp3] <br> そのたてものはしゃしんにうつっています。 <br> The building is in the photograph.			
[sound:k8-0847_整然.mp3]	整然 <br> せいぜん <br> orderly, regular, systematic, well-organized, well-organised, trim, tidy, accurate
orderly, regular, systematic, well-organized, well-organised, trim, tidy, accurate	整然 <br> せいぜん <br> [sound:k8-0847_整然.mp3]
整然	[sound:k8-0847_整然.mp3] <br> せいぜん <br> orderly, regular, systematic, well-organized, well-organised, trim, tidy, accurate
[sound:s8-0847_彼の描写は非常に生き生きとしている。.mp3]	<b>(描写)</b> <br> 彼の描写は非常に生き生きとしている。<br> かれのびょうしゃはひじょうにいきいきとしている。 <br> His description is very vivid.			
<b>(描写)</b> <br> 彼の描写は非常に生き生きとしている。	[sound:s8-0847_彼の描写は非常に生き生きとしている。.mp3] <br> かれのびょうしゃはひじょうにいきいきとしている。 <br> His description is very vivid.			
[sound:k8-0848_段.mp3]	段 <br> (on: ダン, タン) <br> meaning: grade, steps, stairs
meaning: grade, steps, stairs	段 <br> (on: ダン, タン) <br> [sound:k8-0848_段.mp3]
段	[sound:k8-0848_段.mp3] <br> (on: ダン, タン) <br> meaning: grade, steps, stairs
[sound:s8-0848_この青写真に基づいて建物を建てました。.mp3]	<b>(青写真)</b> <br> この青写真に基づいて建物を建てました。<br> このあおしゃしんにもとづいてたてものをたてました。 <br> This blueprint was used to build the building.			
<b>(青写真)</b> <br> この青写真に基づいて建物を建てました。	[sound:s8-0848_この青写真に基づいて建物を建てました。.mp3] <br> このあおしゃしんにもとづいてたてものをたてました。 <br> This blueprint was used to build the building.			
[sound:k8-0849_段階.mp3]	段階 <br> だんかい <br> gradation, grade, stage, steps, order, class, phase
gradation, grade, stage, steps, order, class, phase	段階 <br> だんかい <br> [sound:k8-0849_段階.mp3]
段階	[sound:k8-0849_段階.mp3] <br> だんかい <br> gradation, grade, stage, steps, order, class, phase
[sound:s8-0849_その映画の試写は成功裏に行われた。.mp3]	<b>(試写)</b> <br> その映画の試写は成功裏に行われた。<br> そのえいがのしさはせいこうりにおこなわれた。 <br> The movie screening was successful.			
<b>(試写)</b> <br> その映画の試写は成功裏に行われた。	[sound:s8-0849_その映画の試写は成功裏に行われた。.mp3] <br> そのえいがのしさはせいこうりにおこなわれた。 <br> The movie screening was successful.			
[sound:k8-0850_手段.mp3]	手段 <br> しゅだん <br> means, way, measure
means, way, measure	手段 <br> しゅだん <br> [sound:k8-0850_手段.mp3]
手段	[sound:k8-0850_手段.mp3] <br> しゅだん <br> means, way, measure
[sound:s8-0850_この写しを彼に送ってください。.mp3]	<b>(写し)</b> <br> この写しを彼に送ってください。<br> このうつしをかれにおくってください。 <br> Please send this copy to him.			
<b>(写し)</b> <br> この写しを彼に送ってください。	[sound:s8-0850_この写しを彼に送ってください。.mp3] <br> このうつしをかれにおくってください。 <br> Please send this copy to him.			
[sound:k8-0851_段.mp3]	段 <br> だん <br> step, stair, (flight of) steps, (row of) stitches, columns (of print); grade, rank, level; counter for breaks in written language (or speech, etc.)
step, stair, (flight of) steps, (row of) stitches, columns (of print); grade, rank, level; counter for breaks in written language (or speech, etc.)	段 <br> だん <br> [sound:k8-0851_段.mp3]
段	[sound:k8-0851_段.mp3] <br> だん <br> step, stair, (flight of) steps, (row of) stitches, columns (of print); grade, rank, level; counter for breaks in written language (or speech, etc.)
[sound:s8-0851_彼女は黒板に問題を写した。.mp3]	<b>(写す)</b> <br> 彼女は黒板に問題を写した。<br> かのじょはこくばんにもんだいをうつした。 <br> She copied the problem onto the blackboard.			
<b>(写す)</b> <br> 彼女は黒板に問題を写した。	[sound:s8-0851_彼女は黒板に問題を写した。.mp3] <br> かのじょはこくばんにもんだいをうつした。 <br> She copied the problem onto the blackboard.			
[sound:k8-0852_値段.mp3]	値段 <br> ねだん <br> price, cost
price, cost	値段 <br> ねだん <br> [sound:k8-0852_値段.mp3]
値段	[sound:k8-0852_値段.mp3] <br> ねだん <br> price, cost
[sound:s8-0852_彼は公園で風景を写生した。.mp3]	<b>(写生)</b> <br> 彼は公園で風景を写生した。<br> かれはこうえんでふうけいをしゃせいした。 <br> He sketched the scenery in the park.			
<b>(写生)</b> <br> 彼は公園で風景を写生した。	[sound:s8-0852_彼は公園で風景を写生した。.mp3] <br> かれはこうえんでふうけいをしゃせいした。 <br> He sketched the scenery in the park.			
[sound:k8-0853_一段と.mp3]	一段と <br> いちだんと <br> greater, more, further, still more
greater, more, further, still more	一段と <br> いちだんと <br> [sound:k8-0853_一段と.mp3]
一段と	[sound:k8-0853_一段と.mp3] <br> いちだんと <br> greater, more, further, still more
[sound:s8-0853_その山は多くの写真家にとっての被写体だ。.mp3]	<b>(被写体)</b> <br> その山は多くの写真家にとっての被写体だ。<br> そのやまはおおくのしゃしんかにとってのひしゃたいだ。 <br> The mountain is a subject for many photographers.			
<b>(被写体)</b> <br> その山は多くの写真家にとっての被写体だ。	[sound:s8-0853_その山は多くの写真家にとっての被写体だ。.mp3] <br> そのやまはおおくのしゃしんかにとってのひしゃたいだ。 <br> The mountain is a subject for many photographers.			
[sound:k8-0854_段ボール.mp3]	段ボール <br> だんボール, ダンボール <br> (corrugated) cardboard
(corrugated) cardboard	段ボール <br> だんボール, ダンボール <br> [sound:k8-0854_段ボール.mp3]
段ボール	[sound:k8-0854_段ボール.mp3] <br> だんボール, ダンボール <br> (corrugated) cardboard
[sound:s8-0854_その製品の評価は高かった。.mp3]	<b>(評)</b> <br> その製品の評価は高かった。<br> そのせいひんのひょうかはたかかった。 <br> The product received high praise.			
<b>(評)</b> <br> その製品の評価は高かった。	[sound:s8-0854_その製品の評価は高かった。.mp3] <br> そのせいひんのひょうかはたかかった。 <br> The product received high praise.			
[sound:k8-0855_階段.mp3]	階段 <br> かいだん <br> stairs, stairway, staircase
stairs, stairway, staircase	階段 <br> かいだん <br> [sound:k8-0855_階段.mp3]
階段	[sound:k8-0855_階段.mp3] <br> かいだん <br> stairs, stairway, staircase
[sound:s8-0855_その評議会は重要な決定を下した。.mp3]	<b>(評議)</b> <br> その評議会は重要な決定を下した。<br> そのひょうぎかいはじゅうようなけっていをくだした。 <br> The committee made an important decision.			
<b>(評議)</b> <br> その評議会は重要な決定を下した。	[sound:s8-0855_その評議会は重要な決定を下した。.mp3] <br> そのひょうぎかいはじゅうようなけっていをくだした。 <br> The committee made an important decision.			
[sound:k8-0856_普段.mp3]	普段 <br> ふだん <br> usual, habitual, ordinary, everyday, always
usual, habitual, ordinary, everyday, always	普段 <br> ふだん <br> [sound:k8-0856_普段.mp3]
普段	[sound:k8-0856_普段.mp3] <br> ふだん <br> usual, habitual, ordinary, everyday, always
[sound:s8-0856_彼は音楽評論家として有名です。.mp3]	<b>(評論家)</b> <br> 彼は音楽評論家として有名です。<br> かれはおんがくひょうろんかとしてゆうめいです。 <br> He is famous as a music critic.			
<b>(評論家)</b> <br> 彼は音楽評論家として有名です。	[sound:s8-0856_彼は音楽評論家として有名です。.mp3] <br> かれはおんがくひょうろんかとしてゆうめいです。 <br> He is famous as a music critic.			
[sound:k8-0857_一段.mp3]	一段 <br> いちだん <br> more, much more, still more, all the more; part (of a talk); Japanese verb group; first rank (in martial arts, etc.)
more, much more, still more, all the more; part (of a talk); Japanese verb group; first rank (in martial arts, etc.)	一段 <br> いちだん <br> [sound:k8-0857_一段.mp3]
一段	[sound:k8-0857_一段.mp3] <br> いちだん <br> more, much more, still more, all the more; part (of a talk); Japanese verb group; first rank (in martial arts, etc.)
[sound:s8-0857_その店は評判がいい。.mp3]	<b>(評判)</b> <br> その店は評判がいい。<br> そのみせはひょうばんがいい。 <br> The shop has a good reputation.			
<b>(評判)</b> <br> その店は評判がいい。	[sound:s8-0857_その店は評判がいい。.mp3] <br> そのみせはひょうばんがいい。 <br> The shop has a good reputation.			
[sound:k8-0858_現段階.mp3]	現段階 <br> げんだんかい <br> present stage, current phase; current rank, present grade
present stage, current phase; current rank, present grade	現段階 <br> げんだんかい <br> [sound:k8-0858_現段階.mp3]
現段階	[sound:k8-0858_現段階.mp3] <br> げんだんかい <br> present stage, current phase; current rank, present grade
[sound:s8-0858_その本にはさまざまな評論が書かれている。.mp3]	<b>(評論)</b> <br> その本にはさまざまな評論が書かれている。<br> そのほんにはさまざまなひょうろんがかかれている。 <br> The book contains various criticisms.			
