[sound:k8-5601_会館.mp3]	会館 <br> かいかん <br> meeting hall, assembly hall
<b>(除外)</b> <br> 私たちは彼を会議から除外した。	[sound:s8-5640_私たちは彼を会議から除外した。.mp3] <br> わたしたちはかれをかいぎからじょがいした。 <br> We excluded him from the meeting.			
[sound:k8-5641_屋外.mp3]	屋外 <br> おくがい <br> outdoors, alfresco
outdoors, alfresco	屋外 <br> おくがい <br> [sound:k8-5641_屋外.mp3]
屋外	[sound:k8-5641_屋外.mp3] <br> おくがい <br> outdoors, alfresco
[sound:s8-5641_この文書から不要な情報を削除しました。.mp3]	<b>(削除)</b> <br> この文書から不要な情報を削除しました。<br> このぶんしょからふようなじょうほうをさくじょしました。 <br> We deleted unnecessary information from this document.			
<b>(削除)</b> <br> この文書から不要な情報を削除しました。	[sound:s8-5641_この文書から不要な情報を削除しました。.mp3] <br> このぶんしょからふようなじょうほうをさくじょしました。 <br> We deleted unnecessary information from this document.			
[sound:k8-5642_屋台.mp3]	屋台 <br> やたい <br> cart, esp. food cart; (festival) float
cart, esp. food cart; (festival) float	屋台 <br> やたい <br> [sound:k8-5642_屋台.mp3]
屋台	[sound:k8-5642_屋台.mp3] <br> やたい <br> cart, esp. food cart; (festival) float
[sound:s8-5642_彼はこのプロジェクトを完了しました。.mp3]	<b>(完)</b> <br> 彼はこのプロジェクトを完了しました。<br> かれはこのぷろじぇくとをかんりょうしました。 <br> He completed this project.			
<b>(完)</b> <br> 彼はこのプロジェクトを完了しました。	[sound:s8-5642_彼はこのプロジェクトを完了しました。.mp3] <br> かれはこのぷろじぇくとをかんりょうしました。 <br> He completed this project.			
[sound:k8-5643_問屋.mp3]	問屋 <br> とんや, といや <br> wholesale store
wholesale store	問屋 <br> とんや, といや <br> [sound:k8-5643_問屋.mp3]
問屋	[sound:k8-5643_問屋.mp3] <br> とんや, といや <br> wholesale store
[sound:s8-5643_その絵は完成しましたか？.mp3]	<b>(完成)</b> <br> その絵は完成しましたか？	そのえはかんせいしましたか？ <br> Is the painting finished? <br> 		
<b>(完成)</b> <br> その絵は完成しましたか？	[sound:s8-5643_その絵は完成しましたか？.mp3] <br> そのえはかんせいしましたか？ <br> Is the painting finished?			
[sound:k8-5644_介.mp3]	介 <br> (on: カイ) <br> meaning: jammed in, shellfish, mediate, concern oneself with
meaning: jammed in, shellfish, mediate, concern oneself with	介 <br> (on: カイ) <br> [sound:k8-5644_介.mp3]
介	[sound:k8-5644_介.mp3] <br> (on: カイ) <br> meaning: jammed in, shellfish, mediate, concern oneself with
[sound:s8-5644_完全な解決策を見つけるのは難しい。.mp3]	<b>(完全)</b> <br> 完全な解決策を見つけるのは難しい。<br> かんぜんなかいけつさくをみつけるのはむずかしい。 <br> It's difficult to find a complete solution.			
<b>(完全)</b> <br> 完全な解決策を見つけるのは難しい。	[sound:s8-5644_完全な解決策を見つけるのは難しい。.mp3] <br> かんぜんなかいけつさくをみつけるのはむずかしい。 <br> It's difficult to find a complete solution.			
[sound:k8-5645_介入.mp3]	介入 <br> かいにゅう <br> intervention
intervention	介入 <br> かいにゅう <br> [sound:k8-5645_介入.mp3]
介入	[sound:k8-5645_介入.mp3] <br> かいにゅう <br> intervention
[sound:s8-5645_彼は完封勝利を収めた。.mp3]	<b>(完封)</b> <br> 彼は完封勝利を収めた。<br> かれはかんぷうしょうりをおさめた。 <br> He achieved a shutout victory.			
<b>(完封)</b> <br> 彼は完封勝利を収めた。	[sound:s8-5645_彼は完封勝利を収めた。.mp3] <br> かれはかんぷうしょうりをおさめた。 <br> He achieved a shutout victory.			
[sound:k8-5646_介護.mp3]	介護 <br> かいご <br> nursing
nursing	介護 <br> かいご <br> [sound:k8-5646_介護.mp3]
介護	[sound:k8-5646_介護.mp3] <br> かいご <br> nursing
[sound:s8-5646_彼は完投勝利を挙げた。.mp3]	<b>(完投)</b> <br> 彼は完投勝利を挙げた。<br> かれはかんとうしょうりをあげた。 <br> He recorded a complete game victory.			
<b>(完投)</b> <br> 彼は完投勝利を挙げた。	[sound:s8-5646_彼は完投勝利を挙げた。.mp3] <br> かれはかんとうしょうりをあげた。 <br> He recorded a complete game victory.			
[sound:k8-5647_紹介.mp3]	紹介 <br> しょうかい <br> introduction, referral
introduction, referral	紹介 <br> しょうかい <br> [sound:k8-5647_紹介.mp3]
紹介	[sound:k8-5647_紹介.mp3] <br> しょうかい <br> introduction, referral
[sound:s8-5647_作業は完了しました。.mp3]	<b>(完了)</b> <br> 作業は完了しました。<br> さぎょうはかんりょうしました。 <br> The work is completed.			
<b>(完了)</b> <br> 作業は完了しました。	[sound:s8-5647_作業は完了しました。.mp3] <br> さぎょうはかんりょうしました。 <br> The work is completed.			
[sound:k8-5648_仲介.mp3]	仲介 <br> ちゅうかい <br> agency, intermediation
agency, intermediation	仲介 <br> ちゅうかい <br> [sound:k8-5648_仲介.mp3]
仲介	[sound:k8-5648_仲介.mp3] <br> ちゅうかい <br> agency, intermediation
[sound:s8-5648_その説明は不足している点を補完した。.mp3]	<b>(補完)</b> <br> その説明は不足している点を補完した。<br> そのせつめいはふそくしているてんをほかんした。 <br> The explanation supplemented the missing points.			
<b>(補完)</b> <br> その説明は不足している点を補完した。	[sound:s8-5648_その説明は不足している点を補完した。.mp3] <br> そのせつめいはふそくしているてんをほかんした。 <br> The explanation supplemented the missing points.			
[sound:k8-5649_魚介類.mp3]	魚介類 <br> ぎょかいるい <br> marine products, seafood, fish and shellfish
marine products, seafood, fish and shellfish	魚介類 <br> ぎょかいるい <br> [sound:k8-5649_魚介類.mp3]
魚介類	[sound:k8-5649_魚介類.mp3] <br> ぎょかいるい <br> marine products, seafood, fish and shellfish
[sound:s8-5649_我々は完敗しました。.mp3]	<b>(完敗)</b> <br> 我々は完敗しました。<br> われわれはかんぱいしました。 <br> We were completely defeated.			
<b>(完敗)</b> <br> 我々は完敗しました。	[sound:s8-5649_我々は完敗しました。.mp3] <br> われわれはかんぱいしました。 <br> We were completely defeated.			
[sound:k8-5650_介助.mp3]	介助 <br> かいじょ <br> help, assistance, aid; to assist, to help, to aid
help, assistance, aid; to assist, to help, to aid	介助 <br> かいじょ <br> [sound:k8-5650_介助.mp3]
介助	[sound:k8-5650_介助.mp3] <br> かいじょ <br> help, assistance, aid; to assist, to help, to aid
[sound:s8-5650_その商品は完売しました。.mp3]	<b>(完売)</b> <br> その商品は完売しました。<br> そのしょうひんはかんばいしました。 <br> The product sold out.			
<b>(完売)</b> <br> その商品は完売しました。	[sound:s8-5650_その商品は完売しました。.mp3] <br> そのしょうひんはかんばいしました。 <br> The product sold out.			
[sound:k8-5651_介在.mp3]	介在 <br> かいざい <br> mediation, interposition, intervention
mediation, interposition, intervention	介在 <br> かいざい <br> [sound:k8-5651_介在.mp3]
介在	[sound:k8-5651_介在.mp3] <br> かいざい <br> mediation, interposition, intervention
[sound:s8-5651_その物語は完結しました。.mp3]	<b>(完結)</b> <br> その物語は完結しました。<br> そのものがたりはかんけつしました。 <br> The story concluded.			
<b>(完結)</b> <br> その物語は完結しました。	[sound:s8-5651_その物語は完結しました。.mp3] <br> そのものがたりはかんけつしました。 <br> The story concluded.			
[sound:k8-5652_厄介.mp3]	厄介 <br> やっかい <br> trouble, burden, care, bother, worry, dependence, support, kindness, obligation
trouble, burden, care, bother, worry, dependence, support, kindness, obligation	厄介 <br> やっかい <br> [sound:k8-5652_厄介.mp3]
厄介	[sound:k8-5652_厄介.mp3] <br> やっかい <br> trouble, burden, care, bother, worry, dependence, support, kindness, obligation
[sound:s8-5652_このデータは不完全です。.mp3]	<b>(不完全)</b> <br> このデータは不完全です。<br> このデータはふかんぜんです。 <br> This data is incomplete.			
<b>(不完全)</b> <br> このデータは不完全です。	[sound:s8-5652_このデータは不完全です。.mp3] <br> このデータはふかんぜんです。 <br> This data is incomplete.			
[sound:k8-5653_介する.mp3]	介する <br> かいする <br> to use as an intermediary, to mediate, to assist; to worry, to mind, to care
to use as an intermediary, to mediate, to assist; to worry, to mind, to care	介する <br> かいする <br> [sound:k8-5653_介する.mp3]
介する	[sound:k8-5653_介する.mp3] <br> かいする <br> to use as an intermediary, to mediate, to assist; to worry, to mind, to care
[sound:s8-5653_雨が降っています。.mp3]	<b>(降)</b> <br> 雨が降っています。<br> あめがふっています。 <br> It's raining.			
<b>(降)</b> <br> 雨が降っています。	[sound:s8-5653_雨が降っています。.mp3] <br> あめがふっています。 <br> It's raining.			
[sound:k8-5654_媒介.mp3]	媒介 <br> ばいかい <br> intermediary
intermediary	媒介 <br> ばいかい <br> [sound:k8-5654_媒介.mp3]
媒介	[sound:k8-5654_媒介.mp3] <br> ばいかい <br> intermediary
[sound:s8-5654_彼は階段を降りてきた。.mp3]	<b>(降りる)</b> <br> 彼は階段を降りてきた。<br> かれはかいだんをおりてきた。 <br> He came down the stairs.			
<b>(降りる)</b> <br> 彼は階段を降りてきた。	[sound:s8-5654_彼は階段を降りてきた。.mp3] <br> かれはかいだんをおりてきた。 <br> He came down the stairs.			
[sound:k8-5655_読.mp3]	読 <br> (kun: よ.む, -よ.み; on: ドク, トク, トウ) <br> read
read	読 <br> (kun: よ.む, -よ.み; on: ドク, トク, トウ) <br> [sound:k8-5655_読.mp3]
読	[sound:k8-5655_読.mp3] <br> (kun: よ.む, -よ.み; on: ドク, トク, トウ) <br> read
[sound:s8-5655_以降、彼女に会っていません。.mp3]	<b>(以降)</b> <br> 以降、彼女に会っていません。<br> いこう、かのじょにあっていません。 <br> I haven't seen her since then.			
<b>(以降)</b> <br> 以降、彼女に会っていません。	[sound:s8-5655_以降、彼女に会っていません。.mp3] <br> いこう、かのじょにあっていません。 <br> I haven't seen her since then.			
[sound:k8-5656_読み.mp3]	読み <br> よみ <br> reading
reading	読み <br> よみ <br> [sound:k8-5656_読み.mp3]
読み	[sound:k8-5656_読み.mp3] <br> よみ <br> reading
[sound:s8-5656_飛行機は急速に下降している。.mp3]	<b>(下降)</b> <br> 飛行機は急速に下降している。<br> ひこうきはきゅうそくにかこうしている。 <br> The airplane is descending rapidly.			
<b>(下降)</b> <br> 飛行機は急速に下降している。	[sound:s8-5656_飛行機は急速に下降している。.mp3] <br> ひこうきはきゅうそくにかこうしている。 <br> The airplane is descending rapidly.			
[sound:k8-5657_読者.mp3]	読者 <br> どくしゃ <br> reader
reader	読者 <br> どくしゃ <br> [sound:k8-5657_読者.mp3]
読者	[sound:k8-5657_読者.mp3] <br> どくしゃ <br> reader
[sound:s8-5657_彼はスキーで山を滑降した。.mp3]	<b>(滑降)</b> <br> 彼はスキーで山を滑降した。<br> かれはスキーでやまをかっこうした。 <br> He skied down the mountain.			
<b>(滑降)</b> <br> 彼はスキーで山を滑降した。	[sound:s8-5657_彼はスキーで山を滑降した。.mp3] <br> かれはスキーでやまをかっこうした。 <br> He skied down the mountain.			
[sound:k8-5658_読書.mp3]	読書 <br> どくしょ, とくしょ <br> reading
reading	読書 <br> どくしょ, とくしょ <br> [sound:k8-5658_読書.mp3]
読書	[sound:k8-5658_読書.mp3] <br> どくしょ, とくしょ <br> reading
[sound:s8-5658_降雨量は通常より多いです。.mp3]	<b>(降雨)</b> <br> 降雨量は通常より多いです。<br> こううりょうはつうじょうよりおおいです。 <br> The rainfall is higher than usual.			
