[sound:k8-3601_育英.mp3]	育英 <br> いくえい <br> education
<b>(実験室)</b> <br> その実験室は最新の設備が整っています。	[sound:s8-3642_その実験室は最新の設備が整っています。.mp3] <br> そのじっけんしつはさいしんのせつびがととのっています。 <br> The laboratory is equipped with the latest facilities.			
[sound:k8-3643_技.mp3]	技 <br> わざ, ぎ <br> technique, art
technique, art	技 <br> わざ, ぎ <br> [sound:k8-3643_技.mp3]
技	[sound:k8-3643_技.mp3] <br> わざ, ぎ <br> technique, art
[sound:s8-3643_彼は犬を追って走った。.mp3]	<b>(追)</b> <br> 彼は犬を追って走った。<br> かれはいぬをおってはしった。 <br> He ran after the dog.			
<b>(追)</b> <br> 彼は犬を追って走った。	[sound:s8-3643_彼は犬を追って走った。.mp3] <br> かれはいぬをおってはしった。 <br> He ran after the dog.			
[sound:k8-3644_技術.mp3]	技術 <br> ぎじゅつ <br> art, craft, technique, technology, engineering, skill
art, craft, technique, technology, engineering, skill	技術 <br> ぎじゅつ <br> [sound:k8-3644_技術.mp3]
技術	[sound:k8-3644_技術.mp3] <br> ぎじゅつ <br> art, craft, technique, technology, engineering, skill
[sound:s8-3644_彼は彼女を追いかけました。.mp3]	<b>(追う)</b> <br> 彼は彼女を追いかけました。<br> かれはかのじょをおいかけました。 <br> He chased after her.			
<b>(追う)</b> <br> 彼は彼女を追いかけました。	[sound:s8-3644_彼は彼女を追いかけました。.mp3] <br> かれはかのじょをおいかけました。 <br> He chased after her.			
[sound:k8-3645_競技.mp3]	競技 <br> きょうぎ <br> game, match, contest
game, match, contest	競技 <br> きょうぎ <br> [sound:k8-3645_競技.mp3]
競技	[sound:k8-3645_競技.mp3] <br> きょうぎ <br> game, match, contest
[sound:s8-3645_追加料金がかかりますか？.mp3]	<b>(追加)</b> <br> 追加料金がかかりますか？<br> ついかりょうきんがかかりますか？ <br> Is there an additional charge?			
<b>(追加)</b> <br> 追加料金がかかりますか？	[sound:s8-3645_追加料金がかかりますか？.mp3] <br> ついかりょうきんがかかりますか？ <br> Is there an additional charge?			
[sound:k8-3646_演技.mp3]	演技 <br> えんぎ <br> acting, performance
acting, performance	演技 <br> えんぎ <br> [sound:k8-3646_演技.mp3]
演技	[sound:k8-3646_演技.mp3] <br> えんぎ <br> acting, performance
[sound:s8-3646_彼は自分を追い込みました。.mp3]	<b>(追い込む)</b> <br> 彼は自分を追い込みました。<br> かれはじぶんをおいこみました。 <br> He pushed himself to the limit.			
<b>(追い込む)</b> <br> 彼は自分を追い込みました。	[sound:s8-3646_彼は自分を追い込みました。.mp3] <br> かれはじぶんをおいこみました。 <br> He pushed himself to the limit.			
[sound:k8-3647_技術者.mp3]	技術者 <br> ぎじゅつしゃ <br> engineer, technical expert, technician, crafts-person
engineer, technical expert, technician, crafts-person	技術者 <br> ぎじゅつしゃ <br> [sound:k8-3647_技術者.mp3]
技術者	[sound:k8-3647_技術者.mp3] <br> ぎじゅつしゃ <br> engineer, technical expert, technician, crafts-person
[sound:s8-3647_彼は真実を追及しました。.mp3]	<b>(追及)</b> <br> 彼は真実を追及しました。<br> かれはしんじつをついきゅうしました。 <br> He pursued the truth.			
<b>(追及)</b> <br> 彼は真実を追及しました。	[sound:s8-3647_彼は真実を追及しました。.mp3] <br> かれはしんじつをついきゅうしました。 <br> He pursued the truth.			
[sound:k8-3648_科学技術庁.mp3]	科学技術庁 <br> かがくぎじゅつちょう <br> Science and Technology Agency
Science and Technology Agency	科学技術庁 <br> かがくぎじゅつちょう <br> [sound:k8-3648_科学技術庁.mp3]
科学技術庁	[sound:k8-3648_科学技術庁.mp3] <br> かがくぎじゅつちょう <br> Science and Technology Agency
[sound:s8-3648_彼はその地域から追放されました。.mp3]	<b>(追放)</b> <br> 彼はその地域から追放されました。<br> かれはそのちいきからついほうされました。 <br> He was expelled from the area.			
<b>(追放)</b> <br> 彼はその地域から追放されました。	[sound:s8-3648_彼はその地域から追放されました。.mp3] <br> かれはそのちいきからついほうされました。 <br> He was expelled from the area.			
[sound:k8-3649_技術的.mp3]	技術的 <br> ぎじゅつてき <br> technical, practical
technical, practical	技術的 <br> ぎじゅつてき <br> [sound:k8-3649_技術的.mp3]
技術的	[sound:k8-3649_技術的.mp3] <br> ぎじゅつてき <br> technical, practical
[sound:s8-3649_彼女は有名人を追っ掛けています。.mp3]	<b>(追っ掛ける)</b> <br> 彼女は有名人を追っ掛けています。<br> かのじょはゆうめいじんをおっかけています。 <br> She is chasing after the celebrity.			
<b>(追っ掛ける)</b> <br> 彼女は有名人を追っ掛けています。	[sound:s8-3649_彼女は有名人を追っ掛けています。.mp3] <br> かのじょはゆうめいじんをおっかけています。 <br> She is chasing after the celebrity.			
[sound:k8-3650_技能.mp3]	技能 <br> ぎのう <br> technical skill, ability, capacity
technical skill, ability, capacity	技能 <br> ぎのう <br> [sound:k8-3650_技能.mp3]
技能	[sound:k8-3650_技能.mp3] <br> ぎのう <br> technical skill, ability, capacity
[sound:s8-3650_その式典は彼を追悼するものでした。.mp3]	<b>(追悼)</b> <br> その式典は彼を追悼するものでした。<br> そのしきてんはかれをついとうするものでした。 <br> The ceremony was in memory of him.			
<b>(追悼)</b> <br> その式典は彼を追悼するものでした。	[sound:s8-3650_その式典は彼を追悼するものでした。.mp3] <br> そのしきてんはかれをついとうするものでした。 <br> The ceremony was in memory of him.			
[sound:k8-3651_陸上競技.mp3]	陸上競技 <br> りくじょうきょうぎ <br> track-and-field events
track-and-field events	陸上競技 <br> りくじょうきょうぎ <br> [sound:k8-3651_陸上競技.mp3]
陸上競技	[sound:k8-3651_陸上競技.mp3] <br> りくじょうきょうぎ <br> track-and-field events
[sound:s8-3651_成功するには追い風が必要です。.mp3]	<b>(追い風)</b> <br> 成功するには追い風が必要です。<br> せいこうするにはおいかぜがひつようです。 <br> Success requires favorable conditions.			
<b>(追い風)</b> <br> 成功するには追い風が必要です。	[sound:s8-3651_成功するには追い風が必要です。.mp3] <br> せいこうするにはおいかぜがひつようです。 <br> Success requires favorable conditions.			
[sound:k8-3652_技師.mp3]	技師 <br> ぎし <br> engineer, technician
engineer, technician	技師 <br> ぎし <br> [sound:k8-3652_技師.mp3]
技師	[sound:k8-3652_技師.mp3] <br> ぎし <br> engineer, technician
[sound:s8-3652_彼は追徴課税されました。.mp3]	<b>(追徴)</b> <br> 彼は追徴課税されました。<br> かれはついちょうかぜいされました。 <br> He was subject to retroactive taxation.			
<b>(追徴)</b> <br> 彼は追徴課税されました。	[sound:s8-3652_彼は追徴課税されました。.mp3] <br> かれはついちょうかぜいされました。 <br> He was subject to retroactive taxation.			
[sound:k8-3653_低.mp3]	低 <br> (kun: ひく.い, ひく.める, ひく.まる; on: テイ) <br> lower, short, humble
lower, short, humble	低 <br> (kun: ひく.い, ひく.める, ひく.まる; on: テイ) <br> [sound:k8-3653_低.mp3]
低	[sound:k8-3653_低.mp3] <br> (kun: ひく.い, ひく.める, ひく.まる; on: テイ) <br> lower, short, humble
[sound:s8-3653_彼は最後に追いつきました。.mp3]	<b>(追いつく)</b> <br> 彼は最後に追いつきました。<br> かれはさいごにおいつきました。 <br> He finally caught up.			
<b>(追いつく)</b> <br> 彼は最後に追いつきました。	[sound:s8-3653_彼は最後に追いつきました。.mp3] <br> かれはさいごにおいつきました。 <br> He finally caught up.			
[sound:k8-3654_低める.mp3]	低める <br> ひくめる <br> to lower, to be lowered
to lower, to be lowered	低める <br> ひくめる <br> [sound:k8-3654_低める.mp3]
低める	[sound:k8-3654_低める.mp3] <br> ひくめる <br> to lower, to be lowered
[sound:s8-3654_彼は裁判官として働いています。.mp3]	<b>(審)</b> <br> 彼は裁判官として働いています。<br> かれはさいばんかんとしてはたらいています。 <br> He works as a judge.			
<b>(審)</b> <br> 彼は裁判官として働いています。	[sound:s8-3654_彼は裁判官として働いています。.mp3] <br> かれはさいばんかんとしてはたらいています。 <br> He works as a judge.			
[sound:k8-3655_最低.mp3]	最低 <br> さいてい <br> least, lowest, worst; nasty, disgusting, horrible, yuck!
least, lowest, worst; nasty, disgusting, horrible, yuck!	最低 <br> さいてい <br> [sound:k8-3655_最低.mp3]
最低	[sound:k8-3655_最低.mp3] <br> さいてい <br> least, lowest, worst; nasty, disgusting, horrible, yuck!
[sound:s8-3655_その法案は審議の対象となります。.mp3]	<b>(審議)</b> <br> その法案は審議の対象となります。<br> そのほうあんはしんぎのたいしょうとなります。 <br> The bill will be subject to deliberation.			
<b>(審議)</b> <br> その法案は審議の対象となります。	[sound:s8-3655_その法案は審議の対象となります。.mp3] <br> そのほうあんはしんぎのたいしょうとなります。 <br> The bill will be subject to deliberation.			
[sound:k8-3656_低下.mp3]	低下 <br> ていか <br> fall, decline, lowering, deterioration, degradation
fall, decline, lowering, deterioration, degradation	低下 <br> ていか <br> [sound:k8-3656_低下.mp3]
低下	[sound:k8-3656_低下.mp3] <br> ていか <br> fall, decline, lowering, deterioration, degradation
[sound:s8-3656_その商品は厳しい審査を通過しました。.mp3]	<b>(審査)</b> <br> その商品は厳しい審査を通過しました。<br> そのしょうひんはきびしいしんさをつうかしました。 <br> The product passed rigorous inspection.			
<b>(審査)</b> <br> その商品は厳しい審査を通過しました。	[sound:s8-3656_その商品は厳しい審査を通過しました。.mp3] <br> そのしょうひんはきびしいしんさをつうかしました。 <br> The product passed rigorous inspection.			
[sound:k8-3657_低迷.mp3]	低迷 <br> ていめい <br> hanging low (over), hovering around (price level), low hanging (e.g. clouds), sluggish (e.g. economy), slump, recession
hanging low (over), hovering around (price level), low hanging (e.g. clouds), sluggish (e.g. economy), slump, recession	低迷 <br> ていめい <br> [sound:k8-3657_低迷.mp3]
低迷	[sound:k8-3657_低迷.mp3] <br> ていめい <br> hanging low (over), hovering around (price level), low hanging (e.g. clouds), sluggish (e.g. economy), slump, recession
[sound:s8-3657_試合の審判は公平でなければなりません。.mp3]	<b>(審判)</b> <br> 試合の審判は公平でなければなりません。<br> しあいのしんぱんはこうへいでなければなりません。 <br> The referee in the game must be fair.			
<b>(審判)</b> <br> 試合の審判は公平でなければなりません。	[sound:s8-3657_試合の審判は公平でなければなりません。.mp3] <br> しあいのしんぱんはこうへいでなければなりません。 <br> The referee in the game must be fair.			
[sound:k8-3658_低い.mp3]	低い <br> ひくい <br> low (height, tone, rank, degree, cost, etc.), short
low (height, tone, rank, degree, cost, etc.), short	低い <br> ひくい <br> [sound:k8-3658_低い.mp3]
低い	[sound:k8-3658_低い.mp3] <br> ひくい <br> low (height, tone, rank, degree, cost, etc.), short
[sound:s8-3658_その事件は一審で無罪判決が下された。.mp3]	<b>(一審)</b> <br> その事件は一審で無罪判決が下された。<br> そのじけんはいっしゅんでむざいはんけつがくだされた。 <br> The case was acquitted in the first trial.			
