[sound:s8-0001_早く起きた。.mp3]	<b>(早)</b> <br> 早く起きた。<br> はやくおきた。 <br> I woke up early.			
[sound:s8-0147_朝鮮民主主義人民共和国の首都はどこですか？.mp3]	<b>(朝鮮民主主義人民共和国)</b> <br> 朝鮮民主主義人民共和国の首都はどこですか？	ちょうせんみんしゅしゅぎじんみんきょうわこくのしゅとはどこですか？ <br> What is the capital of the Democratic People's Republic of Korea? <br> 		
[sound:s8-0148_その任務を果たす義務がある。.mp3]	<b>(義務)</b> <br> その任務を果たす義務がある。<br> そのにんむをはたすぎむがある。 <br> There is an obligation to fulfill that mission.			
[sound:s8-0149_彼は社会主義者として有名です。.mp3]	<b>(社会主義)</b> <br> 彼は社会主義者として有名です。<br> かれはしゃかいしゅぎしゃとしてゆうめいです。 <br> He is famous as a socialist.			
[sound:s8-0150_正義は時に犠牲を伴う。.mp3]	<b>(正義)</b> <br> 正義は時に犠牲を伴う。<br> せいぎはときにぎせいをともなう。 <br> Sometimes justice comes with sacrifices.			
[sound:s8-0151_民主主義は人々の自由を守る。.mp3]	<b>(民主主義)</b> <br> 民主主義は人々の自由を守る。<br> みんしゅしゅぎはひとびとのじゆうをまもる。 <br> Democracy protects the freedom of the people.			
[sound:s8-0152_その行為には大きな意義がある。.mp3]	<b>(意義)</b> <br> その行為には大きな意義がある。<br> そのこういにはおおきないぎがある。 <br> There is great significance in that action.			
[sound:s8-0153_その物件は私の名義で登録されています。.mp3]	<b>(名義)</b> <br> その物件は私の名義で登録されています。<br> そのぶっけんはわたしのみょうぎでとうろくされています。 <br> The property is registered in my name.			
[sound:s8-0154_共産主義は過去の体制です。.mp3]	<b>(共産主義)</b> <br> 共産主義は過去の体制です。<br> きょうさんしゅぎはかこのたいせいです。 <br> Communism is a thing of the past.			
[sound:s8-0155_その物語は古くから伝わる。.mp3]	<b>(伝)</b> <br> その物語は古くから伝わる。<br> そのものがたりはふるくからつたわる。 <br> The story has been passed down since ancient times.			
[sound:s8-0156_我々の文化は豊かな伝統を持っている。.mp3]	<b>(伝統)</b> <br> 我々の文化は豊かな伝統を持っている。<br> われわれのぶんかはゆたかなでんとうをもっている。 <br> Our culture has a rich tradition.			
[sound:s8-0157_遺伝子操作の倫理的な問題がある。.mp3]	<b>(遺伝子)</b> <br> 遺伝子操作の倫理的な問題がある。<br> いでんしさぎょうのりんりてきなもんだいがある。 <br> There are ethical issues with genetic engineering.			
[sound:s8-0158_その製品の宣伝をしています。.mp3]	<b>(宣伝)</b> <br> その製品の宣伝をしています。<br> そのせいひんのせんでんをしています。 <br> We are promoting the product.			
[sound:s8-0159_その山には古い伝説がある。.mp3]	<b>(伝説)</b> <br> その山には古い伝説がある。<br> そのやまにはふるいでんせつがある。 <br> There are ancient legends about that mountain.			
[sound:s8-0160_この行事は伝統的な文化の一部です。.mp3]	<b>(伝統的)</b> <br> この行事は伝統的な文化の一部です。<br> このぎょうじはでんとうてきなぶんかのいちぶです。 <br> This event is part of traditional culture.			
[sound:s8-0161_彼らは駅伝の練習をしています。.mp3]	<b>(駅伝)</b> <br> 彼らは駅伝の練習をしています。<br> かれらはえきでんのれんしゅうをしています。 <br> They are practicing for the relay race.			
[sound:s8-0162_その特性は遺伝によるものです。.mp3]	<b>(遺伝)</b> <br> その特性は遺伝によるものです。<br> そのとくせいはいでんによるものです。 <br> That trait is inherited.			
[sound:s8-0163_私は友達の引っ越しを手伝った。.mp3]	<b>(手伝い)</b> <br> 私は友達の引っ越しを手伝った。<br> わたしはともだちのひっこしをてつだった。 <br> I helped my friend move.			
[sound:s8-0164_情報の伝達はスムーズでなければならない。.mp3]	<b>(伝達)</b> <br> 情報の伝達はスムーズでなければならない。<br> じょうほうのでんたつはすむーずでなければならない。 <br> Information transmission must be smooth.			
[sound:s8-0165_彼の自伝がベストセラーになった。.mp3]	<b>(自伝)</b> <br> 彼の自伝がベストセラーになった。<br> かれのじでんがべすとせらーになった。 <br> His autobiography became a bestseller.			
[sound:s8-0166_彼は一日中働いている。.mp3]	<b>(働)</b> <br> 彼は一日中働いている。<br> かれはいちにちじゅうはたらいている。 <br> He works all day long.			
[sound:s8-0167_その機械の働きは良好です。.mp3]	<b>(働き)</b> <br> その機械の働きは良好です。<br> そのきかいのはたらきはりょうこうです。 <br> The machine is working well.			
[sound:s8-0168_彼は労働組合のメンバーです。.mp3]	<b>(労働)</b> <br> 彼は労働組合のメンバーです。<br> かれはろうどうくみあいのめんばーです。 <br> He is a member of the labor union.			
[sound:s8-0169_労働者は生産の基盤です。.mp3]	<b>(労働者)</b> <br> 労働者は生産の基盤です。<br> ろうどうしゃはせいさんのきばんです。 <br> Workers are the foundation of production.			
[sound:s8-0170_労働省は雇用政策を担当しています。.mp3]	<b>(労働省)</b> <br> 労働省は雇用政策を担当しています。<br> ろうどうしょうはこようせいさくをたんとうしています。 <br> The Ministry of Labor is responsible for employment policy.			
[sound:s8-0171_彼は労働党に所属している。.mp3]	<b>(労働党)</b> <br> 彼は労働党に所属している。<br> かれはろうどうとうにしょぞくしている。 <br> He belongs to the Labour Party.			
[sound:s8-0172_労働組合はストライキを行うことを決定した。.mp3]	<b>(労働組合)</b> <br> 労働組合はストライキを行うことを決定した。<br> ろうどうくみあいはすとらいきをおこなうことをけっていした。 <br> The labor union decided to go on strike.			
[sound:s8-0173_この会社の労働条件は良いですか？.mp3]	<b>(労働条件)</b> <br> この会社の労働条件は良いですか？	このかいしゃのろうどうじょうけんはよいですか？ <br> Are the working conditions at this company good? <br> 		
[sound:s8-0174_その機械は24時間稼働しています。.mp3]	<b>(稼働)</b> <br> その機械は24時間稼働しています。<br> そのきかいはにじゅうよじかんかどうしています。 <br> The machine operates 24 hours a day.			
[sound:s8-0175_夫婦は共働きが増えてきている。.mp3]	<b>(共働き)</b> <br> 夫婦は共働きが増えてきている。<br> ふうふはともばたらきがふえてきている。 <br> More and more couples are both working.			
[sound:s8-0176_彼は多くの人を働かせています。.mp3]	<b>(働かせる)</b> <br> 彼は多くの人を働かせています。<br> かれはおおくのひとをはたらかせています。 <br> He makes a lot of people work.			
[sound:s8-0177_その建物は奇妙な形をしている。.mp3]	<b>(形)</b> <br> その建物は奇妙な形をしている。<br> そのたてものはきみょうなかたちをしている。 <br> The building has a strange shape.			
[sound:s8-0178_その企画は新しい形を取り入れている。.mp3]	<b>(形)</b> <br> その企画は新しい形を取り入れている。<br> そのきかくはあたらしいかたちをとりいれている。 <br> The project incorporates a new form.			
[sound:s8-0179_彼女は形式的な挨拶を交わした。.mp3]	<b>(形式)</b> <br> 彼女は形式的な挨拶を交わした。<br> かのじょはけいしきてきなあいさつをかわした。 <br> She exchanged formal greetings.			
[sound:s8-0180_彼の教育は彼の人格を形成した。.mp3]	<b>(形成)</b> <br> 彼の教育は彼の人格を形成した。<br> かれのきょういくはかれのじんかくをけいせいした。 <br> His education shaped his personality.			
[sound:s8-0181_この地域は多様な生態系を持っています。.mp3]	<b>(形態)</b> <br> この地域は多様な生態系を持っています。<br> このちいきはたようなせいたいけいをもっています。 <br> This area has a diverse ecosystem.			
[sound:s8-0182_彼女は人形を集めています。.mp3]	<b>(人形)</b> <br> 彼女は人形を集めています。<br> かのじょはにんぎょうをあつめています。 <br> She collects dolls.			
[sound:s8-0183_山形は四季折々の美しい景色が広がっている。.mp3]	<b>(山形)</b> <br> 山形は四季折々の美しい景色が広がっている。<br> やまがたはしきおりおりのうつくしいけしきがひろがっている。 <br> Yamagata has beautiful scenery throughout the four seasons.			
[sound:s8-0184_その契約は手形で支払われる。.mp3]	<b>(手形)</b> <br> その契約は手形で支払われる。<br> そのけいやくはてがたでしはらわれる。 <br> The contract is paid by promissory note.			
[sound:s8-0185_彼の造形作品は広く評価されている。.mp3]	<b>(造形)</b> <br> 彼の造形作品は広く評価されている。<br> かれのぞうけいさくひんはひろくひょうかされている。 <br> His sculptures are widely appreciated.			
[sound:s8-0186_彼は自由形で金メダルを獲得した。.mp3]	<b>(自由形)</b> <br> 彼は自由形で金メダルを獲得した。<br> かれはじゆうけいできんめだるをかくとくした。 <br> He won a gold medal in the freestyle.			
